,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4725,2022,1,80,LÉO PÉRICLES,RS,2332,0.04
4726,2022,1,16,VERA,RS,1337,0.02
4727,2022,1,15,SIMONE TEBET,RS,317957,4.79
4728,2022,1,21,SOFIA MANZANO,SC,1812,0.04
4729,2022,1,27,CONSTITUINTE EYMAEL,SC,567,0.01
4730,2022,1,13,LULA,SC,1279216,29.54
4731,2022,1,12,CIRO GOMES,SC,88672,2.05
4732,2022,1,14,ROBERTO JEFFERSON,SC,3369,0.08
4733,2022,1,14,PADRE KELMON,SC,3369,0.08
4734,2022,1,30,FELIPE D AVILA,SC,48980,1.13
4735,2022,1,22,JAIR BOLSONARO,SC,2694406,62.21
4736,2022,1,44,SORAYA THRONICKE,SC,20132,0.46
4737,2022,1,80,LÉO PÉRICLES,SC,1682,0.04
4738,2022,1,16,VERA,SC,838,0.02
4739,2022,1,15,SIMONE TEBET,SC,191310,4.42
4740,2022,1,21,SOFIA MANZANO,SE,364,0.03
4741,2022,1,27,CONSTITUINTE EYMAEL,SE,196,0.02
4742,2022,1,13,LULA,SE,828716,63.82
4743,2022,1,12,CIRO GOMES,SE,40247,3.1
4744,2022,1,14,ROBERTO JEFFERSON,SE,631,0.05
4745,2022,1,14,PADRE KELMON,SE,631,0.05
4746,2022,1,30,FELIPE D AVILA,SE,2194,0.17
4747,2022,1,22,JAIR BOLSONARO,SE,378610,29.16
4748,2022,1,44,SORAYA THRONICKE,SE,4416,0.34
4749,2022,1,80,LÉO PÉRICLES,SE,396,0.03
4750,2022,1,16,VERA,SE,589,0.05
4751,2022,1,15,SIMONE TEBET,SE,42073,3.24
4752,2022,1,21,SOFIA MANZANO,SP,14943,0.06
4753,2022,1,27,CONSTITUINTE EYMAEL,SP,5015,0.02
4754,2022,1,13,LULA,SP,10490032,40.89
4755,2022,1,12,CIRO GOMES,SP,898540,3.5
4756,2022,1,14,ROBERTO JEFFERSON,SP,15784,0.06
4757,2022,1,14,PADRE KELMON,SP,15784,0.06
4758,2022,1,30,FELIPE D AVILA,SP,183719,0.72
4759,2022,1,22,JAIR BOLSONARO,SP,12239989,47.71
4760,2022,1,44,SORAYA THRONICKE,SP,153601,0.6
4761,2022,1,80,LÉO PÉRICLES,SP,21665,0.08
4762,2022,1,16,VERA,SP,7450,0.03
4763,2022,1,15,SIMONE TEBET,SP,1625596,6.34
4764,2022,1,21,SOFIA MANZANO,TO,149,0.02
4765,2022,1,27,CONSTITUINTE EYMAEL,TO,105,0.01
4766,2022,1,13,LULA,TO,434303,50.4
4767,2022,1,12,CIRO GOMES,TO,18141,2.11
4768,2022,1,14,ROBERTO JEFFERSON,TO,418,0.05
4769,2022,1,14,PADRE KELMON,TO,418,0.05
4770,2022,1,30,FELIPE D AVILA,TO,1266,0.15
4771,2022,1,22,JAIR BOLSONARO,TO,379194,44.0
4772,2022,1,44,SORAYA THRONICKE,TO,2788,0.32
4773,2022,1,80,LÉO PÉRICLES,TO,129,0.01
4774,2022,1,16,VERA,TO,90,0.01
4775,2022,1,15,SIMONE TEBET,TO,25209,2.93
4776,2022,1,21,SOFIA MANZANO,ZZ,618,0.21
4777,2022,1,27,CONSTITUINTE EYMAEL,ZZ,258,0.09
4778,2022,1,13,LULA,ZZ,138933,47.17
4779,2022,1,12,CIRO GOMES,ZZ,13341,4.53
4780,2022,1,14,ROBERTO JEFFERSON,ZZ,344,0.12
4781,2022,1,14,PADRE KELMON,ZZ,344,0.12
4782,2022,1,30,FELIPE D AVILA,ZZ,3780,1.28
